2024-06-15 18:48:29.860 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:49:02.999 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:49:03.089 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:49:03.089 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:50:21.853 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:50:21.881 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:50:21.881 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:50:41.345 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:50:41.383 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:50:41.383 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:51:42.186 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:51:42.232 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:51:42.232 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:51:53.589 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:51:53.615 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:51:53.615 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 19:02:16.819 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 19:02:16.907 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 19:02:16.907 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 19:02:56.019 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 19:02:56.067 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 19:02:56.067 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
