2024-06-12 22:31:56.728 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:56.729 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:33:03.785 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-12 22:33:03.785 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-12 22:33:03.800 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-12 22:33:03.800 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-06-12 22:33:53.253 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-12 22:33:53.253 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-12 22:33:55.176 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-12 22:33:55.176 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-06-12 23:30:16.294 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:30:16.350 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:30:16.350 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:30:16.352 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:30:16.353 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:30:16.353 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:30:16.355 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:30:16.356 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:30:16.356 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:34:41.946 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:34:41.995 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:34:41.995 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:34:41.999 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:34:42.000 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:34:42.000 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:34:42.005 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:34:42.006 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:34:42.007 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:35:05.574 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:35:05.616 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:35:05.616 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:35:05.623 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:35:05.624 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:35:05.625 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:35:05.627 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:35:05.628 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:35:05.628 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:36:53.312 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:36:53.344 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:36:53.344 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:36:53.346 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:36:53.347 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:36:53.348 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:36:53.350 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:36:53.351 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:36:53.351 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:37:22.692 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:37:22.717 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:37:22.717 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:37:22.719 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:37:22.720 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:37:22.720 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:37:22.722 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:37:22.723 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:37:22.723 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:39:51.207 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:39:51.246 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:39:51.246 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
