2024-06-15 15:21:04.740 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.386 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.391 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:43.392 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.400 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.408 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.412 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:43.413 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.413 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:43.413 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.414 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.419 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:43.419 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.428 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:43.431 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:43.431 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.305 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.312 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.315 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.356 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:23:03.356 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.357 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:23:03.357 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.363 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:23:03.365 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.375 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.378 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:23:03.378 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.384 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:23:03.387 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:23:03.387 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:24:31.444 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:24:31.448 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:24:31.462 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:24:31.484 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:24:31.484 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:24:31.487 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:24:31.487 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:24:31.487 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:24:31.487 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:24:31.495 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:24:31.501 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:24:31.501 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
