2024-05-16 23:30:53.543 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:32:22.308 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:33:51.980 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:33:54.001 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:34:05.926 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:35:22.062 -05:00 [ERR] Exception | Database - ExecuteReaderAsync:
Object reference not set to an instance of an object.
2024-05-16 23:35:22.080 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:35:27.107 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:36:25.141 -05:00 [ERR] Exception | Database - ExecuteReaderAsync:
Invalid attempt to read when no data is present.
2024-05-16 23:36:25.157 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:37:18.762 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:37:29.348 -05:00 [ERR] Exception | Database - ExecuteReaderAsync:
Invalid attempt to read when no data is present.
2024-05-16 23:37:29.364 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:37:58.708 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:38:02.406 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:38:02.407 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:40:17.698 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:40:28.712 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:40:28.712 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:56:59.858 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:57:00.043 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:57:00.043 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:57:15.426 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:57:15.439 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:57:15.439 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:57:18.355 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:57:18.358 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:57:18.358 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:57:25.986 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:57:26.005 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:57:26.005 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:58:59.315 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:58:59.331 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:58:59.331 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:59:06.301 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:59:06.304 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:59:06.306 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
