2024-06-15 17:05:42.124 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:05:42.124 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:06:39.447 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:06:39.451 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:06:39.451 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:06:39.538 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:06:39.543 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:06:39.543 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:07:41.954 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:07:41.960 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:07:41.960 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:07:42.037 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:07:42.047 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:07:42.047 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:07:50.883 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:07:50.887 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:07:50.887 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:07:50.965 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:07:50.970 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:07:50.970 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:08:29.563 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
