2024-06-05 22:45:44.662 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:45:45.186 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:45:45.187 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:45:45.187 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:45:45.711 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:45:45.712 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:45:45.712 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:45:46.153 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:45:59.773 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:45:59.773 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:45:59.774 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:07.142 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:46:07.142 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:46:07.142 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:07.142 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:46:07.142 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:46:07.143 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:07.143 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:46:07.143 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:46:07.143 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:07.143 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:46:07.143 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:46:07.144 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:07.144 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:46:07.144 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:46:36.250 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:46:36.437 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:46:36.803 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:45.214 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:46:45.214 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:46:45.216 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:45.217 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:46:45.217 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:46:45.218 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:45.218 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:46:45.219 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:46:45.219 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:45.219 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:46:45.220 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:46:45.220 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:45.220 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:46:45.220 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:47:44.835 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:47:44.835 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:47:44.867 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:57:55.208 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:57:55.208 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:57:55.258 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:57:55.258 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:57:55.258 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:57:55.258 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:57:55.258 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:57:55.258 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:57:55.259 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:57:55.259 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:57:55.259 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:57:55.260 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:57:55.260 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:57:55.260 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:58:56.897 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:58:56.967 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:58:57.201 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:59:49.551 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:59:49.551 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:59:49.562 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:02:23.131 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:02:23.131 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:02:25.873 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:02:29.879 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:02:29.882 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:02:29.886 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:02:59.934 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:02:59.934 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:02:59.944 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:07:34.540 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:07:34.674 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:07:35.146 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:09:22.829 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:09:22.829 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:09:22.839 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:09:36.146 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:09:36.146 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:09:36.149 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:10:39.955 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:10:39.955 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:10:39.965 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:11:32.455 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:11:32.455 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
